row_number,mpn,status,latency_ms,attempt_count,retry_count,transient_errors,final_error,validation_valid,missing_fields,invalid_fields,provenance
2,DCB518ASTS06G,success,13974.13,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 13972}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
3,3MABR-7100075678,success,14549.19,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 14548}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
4,3MABR-7100045865,success,4557.5,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 4557}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
5,3MABR-7100048736,success,6423.68,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 6423}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
6,3MABR-7100075690,success,4081.77,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 4081}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
7,3MABR-7100075692,success,8614.74,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 8614}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
8,3MABR-7100145365,success,3636.1,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 3635}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
9,5B-332-080,success,8868.85,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 8868}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
10,5B-332-120,success,4159.82,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 4159}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
11,9A-570-240,success,7493.86,1,0,,,True,,,"{""sources"": [{""source_id"": ""src_gemini_001"", ""type"": ""knowledge_base"", ""name"": ""Google Gemini (gemini-3.1-flash-lite)"", ""url"": null, ""attributes_used"": [""title"", ""category"", ""description"", ""specifications"", ""features"", ""applications"", ""seo_keywords""], ""relevance_score"": 0.75}], ""agent_timeline"": [{""agent"": ""retrieval"", ""status"": ""skipped"", ""duration_ms"": 0}, {""agent"": ""intelligence"", ""status"": ""completed"", ""duration_ms"": 7493}, {""agent"": ""validation"", ""status"": ""skipped"", ""duration_ms"": 0}]}"
